05693         C2003 04 01.20241 11 31 44.15 +13 26 48.0          19.3 Vdh8708703
05693         C2003 04 01.20957 11 31 43.38 +13 26 52.4          19.4 Vdh8708703
05693         C2003 04 01.21675 11 31 42.52 +13 26 56.5          19.5 Vdh8708703
05693         C2003 04 01.24314 11 31 39.54 +13 27 08.2          18.8  ch6727704
05693         C2003 04 01.24350 11 31 39.70 +13 27 10.7          19.0  ch6727704
05693         C2003 04 01.25581 11 31 38.19 +13 27 16.0          19.0  ch6727704
05693         C2003 04 01.25617 11 31 38.23 +13 27 17.6          18.8  ch6727704
05693         C2003 04 01.26780 11 31 36.86 +13 27 22.1          18.7  ch6727704
05693         C2003 04 01.26816 11 31 36.96 +13 27 22.7          18.9  ch6727704
05693         C2003 04 01.27985 11 31 35.59 +13 27 28.0          19.2  ch6727704
05693         C2003 04 01.28021 11 31 35.65 +13 27 30.5          19.1  ch6727704
05693         C2003 04 01.29205 11 31 34.26 +13 27 35.2          18.9  ch6727704
05693         C2003 04 01.29241 11 31 34.20 +13 27 36.1          18.8  ch6727704
05693         C2003 04 04.18769 11 26 33.45 +13 51 56.6          19.3 Vch6727691
05693         C2003 04 04.21464 11 26 30.65 +13 52 09.4          19.3 Vch6727691
05693         C2003 04 04.24176 11 26 27.84 +13 52 22.3          19.3 Vch6727691
05693        [C2003 04 06.22381 11 23 12.15 +14 07 10.5                t~18kK568
05693        [C2003 04 06.22626 11 23 11.91 +14 07 11.5                t~18kK568
05693        [C2003 04 06.22727 11 23 11.81 +14 07 11.9                t~18kK568
05693         C2003 04 10.20058 11 17 05.92 +14 32 17.7          19.3  ch6727644
05693         C2003 04 10.22145 11 17 04.05 +14 32 24.8          19.5  ch6727644
05693         C2003 04 10.24232 11 17 02.18 +14 32 31.8          19.8  ch6727644
05693         C2003 04 25.15447 11 00 24.10 +15 15 49.2          19.5 Roh8708699
05693         C2003 04 25.16880 11 00 23.50 +15 15 49.7                oh8708699
05693         C2003 04 25.18305 11 00 22.83 +15 15 51.0                oh8708699
05693         C2003 04 25.19730 11 00 22.14 +15 15 52.6                oh8708699
05693         C2004 01 18.10784 00 17 44.13 +01 08 15.0          18.0 Vdj7187703
05693         C2004 01 18.11691 00 17 49.07 +01 08 54.8          18.0 Vdj7187703
05693         C2004 01 18.12596 00 17 54.04 +01 09 34.7          17.8 Vdj7187703
05693         C2004 01 18.13509 00 17 59.03 +01 10 15.2          17.6 Vdj7187703
05693         C2004 01 21.10977 00 45 21.10 +04 47 14.1          18.0  cj7187704
05693         C2004 01 21.12244 00 45 28.00 +04 48 07.8          17.8  cj7187704
05693         C2004 01 21.13522 00 45 35.05 +04 49 02.8          18.6  cj7187704
05693         C2004 01 24.74954 01 18 18.55 +09 00 04.9          17.6 Vrj8065170
05693         C2004 01 24.75071 01 18 19.17 +09 00 09.5          17.6 Vrj8065170
05693         C2004 01 24.75105 01 18 19.33 +09 00 11.5          17.8 Vrj8065170
05693         C2004 01 30.09151 02 04 07.15 +14 23 13.6          17.7  cj8065704
05693         C2004 01 30.10306 02 04 12.78 +14 23 50.8          18.2  cj8065704
05693         C2004 01 30.11467 02 04 18.41 +14 24 28.5          18.0  cj8065704
05693         C2004 01 30.12626 02 04 24.05 +14 25 05.9          18.2  cj8065704
05693         C2004 02 09.15894 03 17 58.41 +21 21 04.3          17.3 Rcj9113699
05693         C2004 02 09.17893 03 18 06.01 +21 21 39.8                cj9113699
05693         C2004 02 09.19893 03 18 13.74 +21 22 15.7                cj9113699
05693         C2004 02 09.21891 03 18 21.42 +21 22 52.1                cj9113699
05693         C2004 02 15.10413 03 53 33.79 +23 48 53.9          17.7  cj9113704
05693         C2004 02 15.11596 03 53 37.66 +23 49 08.1          18.4  cj9113704
05693         C2004 02 15.12760 03 53 41.46 +23 49 21.9          18.1  cj9113704
05693         C2004 02 15.13929 03 53 45.27 +23 49 35.9          18.2  cj9113704
05693         C2004 02 15.15093 03 53 49.08 +23 49 49.6          17.7  cj9113704
05693         C2004 02 16.09369 03 58 58.31 +24 08 10.2          17.9  cj9113704
05693         C2004 02 16.10532 03 59 02.01 +24 08 22.7          18.1  cj9113704
05693         C2004 02 16.11701 03 59 05.73 +24 08 35.8          18.2  cj9113704
05693         C2004 02 16.12889 03 59 09.48 +24 08 49.2          18.1  cj9113704
05693         C2004 02 16.14050 03 59 13.24 +24 09 02.4          18.4  cj9113704
05693         C2004 02 17.12605 04 04 28.16 +24 26 52.4          17.8  cj9113644
05693         C2004 02 17.14757 04 04 34.83 +24 27 14.7          17.8  cj9113644
05693         C2004 02 17.17009 04 04 41.81 +24 27 38.1          17.8  cj9113644
05693         C2004 02 20.76681 04 22 46.13 +25 22 45.1          18.1 Vrk0342240
05693         C2004 02 20.76866 04 22 46.67 +25 22 46.5          18.1 Vrk0342240
05693         C2004 02 20.76913 04 22 46.79 +25 22 46.9          18.4 Vrk0342240
05693         C2004 02 20.77144 04 22 47.46 +25 22 48.7          18.1 Vrk0342240
05693         C2004 02 20.77330 04 22 48.00 +25 22 50.3          18.7 Vrk0342240
05693         C2004 02 20.78164 04 22 50.32 +25 22 56.7          18.2 Vrk0342240
05693         C2004 02 20.78256 04 22 50.59 +25 22 57.5          18.1 Vrk0342240
05693         C2004 02 23.10561 04 33 42.20 +25 51 35.5          18.5  ck0342704
05693         C2004 02 23.11700 04 33 45.25 +25 51 43.6          18.8  ck0342704
05693         C2004 02 23.12872 04 33 48.41 +25 51 51.3          18.5  ck0342704
05693         C2004 02 23.14034 04 33 51.52 +25 51 59.1          18.7  ck0342704
05693         C2004 02 23.15206 04 33 54.71 +25 52 07.2          19.1  ck0342704
05693         C2004 03 19.16855 06 03 57.88 +27 38 10.2          19.0  ck2409704
05693         C2004 03 19.17932 06 03 59.77 +27 38 09.9          19.3  ck2409704
05693         C2004 03 19.20094 06 04 03.57 +27 38 08.1          19.6  ck2409704
05693         C2004 03 19.21208 06 04 05.48 +27 38 09.0          19.4  ck2409704
05693         C2004 04 19.13697 07 22 41.09 +26 10 22.2          19.5  ck5394704
05693         C2004 04 19.14828 07 22 42.59 +26 10 19.6          20.1  ck5394704
05693         C2004 04 19.16078 07 22 44.21 +26 10 14.1          20.0  ck5394704
05693         C2004 04 19.17201 07 22 45.73 +26 10 12.2          20.0  ck5394704
05693         C2004 04 19.18312 07 22 47.28 +26 10 07.9          20.2  ck5394704
05693         C2006 02 25.46232 13 41 13.09 -01 26 17.8          19.2 Roq5344699
05693         C2006 02 25.48055 13 41 12.34 -01 26 08.9                oq5344699
05693         C2006 02 25.49879 13 41 11.64 -01 25 59.6                oq5344699
05693         C2006 02 25.51701 13 41 10.90 -01 25 50.8                oq5344699
