cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
63,0.424587,-60.765799,2.2327226000E+02,-1.4697033000E+01,223.2721536,-14.6969754,0.6405,0.6570,-0.2070,16.383,0.309,3.5,5.892E-01,13.899,0.264,4.1,7.411E-01,1,0,0000,BB,10,57056.92573609,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
64,0.689132,9.130617,2.2335933900E+02,-1.4669356000E+01,223.3593704,-14.6691670,0.2847,0.3858,-0.0670,15.539,0.148,7.3,9.504E-01,13.726,0.152,7.2,7.448E-01,1,0,0000,BB,10,57056.99144256,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
65,1.261335,-50.767243,2.2344648600E+02,-1.4641592000E+01,223.4462055,-14.6413704,0.6228,0.6703,0.0429,16.648,0.410,2.6,6.456E-01,14.156,0.197,5.5,6.427E-01,1,0,0000,CB,10,57057.05714903,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
66,2.121956,-84.089252,2.2353370200E+02,-1.4613738000E+01,223.5330961,-14.6136773,0.8325,0.9355,0.0730,16.438,0.354,3.1,1.048E+00,15.022,0.361,3.0,4.320E-01,1,0,0000,BC,10,57057.12285550,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
67,0.670766,104.134502,2.2362080900E+02,-1.4585913000E+01,223.6209957,-14.5859585,0.5784,0.6522,0.1440,16.243,0.263,4.1,1.763E+00,14.551,0.232,4.7,4.705E-01,1,0,0000,BB,10,57057.18843461,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
69,1.565533,-2.934706,2.2379558400E+02,-1.4529773000E+01,223.7955610,-14.5293387,0.5769,0.6331,0.1421,16.017,0.223,4.9,8.930E-01,14.078,0.263,4.1,7.452E-01,1,0,0000,BB,10,57057.31984750,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
70,0.471425,15.481450,2.2397063500E+02,-1.4473281000E+01,223.9706711,-14.4731548,0.3819,0.4886,0.0509,15.994,0.308,3.5,5.959E-01,13.968,0.140,7.8,6.278E-01,1,0,0000,BB,10,57057.45126044,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
71,0.967188,-141.548690,2.2414578100E+02,-1.4416554000E+01,224.1456085,-14.4167644,0.6405,0.7325,0.3367,16.809,0.441,2.5,8.604E-01,14.232,0.219,5.0,8.299E-01,1,0,0000,CB,10,57057.58254602,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
72,0.689300,171.562749,2.2432138000E+02,-1.4359359000E+01,224.3214090,-14.3595484,0.4687,0.4656,-0.0692,15.972,0.258,4.2,8.945E-01,13.692,0.176,6.2,6.011E-01,1,0,0000,BB,10,57057.71395953,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
73,0.589115,-176.877122,2.2449725000E+02,-1.4301815000E+01,224.4972408,-14.3019784,0.3589,0.4446,0.1702,15.645,0.176,6.2,6.410E-01,14.050,0.156,6.9,6.113E-01,1,0,0000,BB,10,57057.84537251,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
74,1.833418,67.121320,2.2467321300E+02,-1.4244034000E+01,224.6736971,-14.2438360,0.4776,0.5739,-0.0771,16.386,0.348,3.1,1.320E+00,14.091,0.161,6.7,7.316E-01,1,0,0000,BB,10,57057.97665804,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
75,0.152301,-26.984453,2.2484962900E+02,-1.4185784000E+01,224.8496092,-14.1857463,0.5491,0.6006,-0.1085,15.996,0.233,4.7,6.706E-01,14.494,0.242,4.5,8.668E-01,1,0,0000,BB,10,57058.10807098,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
76,0.915869,110.140852,2.2502613400E+02,-1.4127299000E+01,225.0263803,-14.1273866,0.4017,0.3911,-0.0999,15.755,0.200,5.4,9.874E-01,13.683,0.149,7.3,4.817E-01,1,0,0000,BB,10,57058.23935656,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
77,1.768041,-149.233205,2.2520309000E+02,-1.4068344000E+01,225.2028310,-14.0687660,0.6522,0.7554,-0.2314,16.710,null,-2.9,1.110E+01,14.061,0.246,4.4,7.595E-01,1,0,0000,UB,10,57058.37076950,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
78,0.316625,-10.423393,2.2538031600E+02,-1.4009036000E+01,225.3802996,-14.0089495,0.3756,0.5077,0.2090,15.749,0.210,5.2,7.752E-01,13.812,0.180,6.0,7.106E-01,2,0,0000,BB,10,57058.50218244,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
79,1.156900,9.770484,2.2546884900E+02,-1.3979368000E+01,225.4689052,-13.9790513,0.3999,0.5055,0.1065,16.404,0.316,3.4,1.175E+00,13.960,0.143,7.6,8.548E-01,1,0,0000,BB,10,57058.56776154,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
80,0.874531,144.879856,2.2555763100E+02,-1.3949492000E+01,225.5577750,-13.9496907,0.3133,0.3505,-0.1256,15.439,0.133,8.1,1.840E+00,13.566,0.136,8.0,1.055E+00,1,0,0000,BB,10,57058.63346801,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
82,0.061054,52.176997,2.2573521400E+02,-1.3889596000E+01,225.7352278,-13.8895856,0.4397,0.5007,0.0948,15.877,0.226,4.8,5.561E-01,14.131,0.164,6.6,7.681E-01,1,0,0000,BB,10,57058.76475359,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
84,2.895790,-19.806660,2.2591324600E+02,-1.3829227000E+01,225.9129653,-13.8284702,0.6894,0.7569,-0.2028,16.205,0.291,3.7,5.569E-01,14.614,0.274,4.0,6.477E-01,1,0,0000,BB,10,57058.89616657,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
85,0.611559,75.825136,2.2600236200E+02,-1.3798910000E+01,226.0025316,-13.7988684,0.3544,0.4108,0.0248,15.783,0.178,6.1,1.068E+00,13.985,0.155,7.0,7.116E-01,1,0,0000,BB,10,57058.96187304,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
86,0.612739,158.719800,2.2609154500E+02,-1.3768504000E+01,226.0916086,-13.7686626,0.4328,0.4243,-0.1239,15.834,0.245,4.4,3.807E-01,13.881,0.135,8.1,7.138E-01,1,0,0000,BB,10,57059.02757951,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
88,0.648399,-31.114192,2.2626992800E+02,-1.3707547000E+01,226.2698322,-13.7073928,0.5382,0.5367,-0.1775,16.013,0.224,4.8,8.870E-01,14.024,0.203,5.3,4.931E-01,1,0,0000,BB,10,57059.15886509,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
89,0.785120,-3.422629,2.2635931100E+02,-1.3676875000E+01,226.3592976,-13.6766573,0.5915,1.0661,0.2050,16.591,null,0.9,1.410E+00,14.137,0.228,4.8,5.422E-01,1,0,0000,UB,10,57059.22457152,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
90,3.229548,-169.438922,2.2644876000E+02,-1.3646114000E+01,226.4485908,-13.6469959,0.3744,0.3899,-0.0451,15.714,0.174,6.2,2.033E+00,13.540,0.152,7.2,7.922E-01,1,0,0000,BB,10,57059.29027794,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
91,0.891687,-158.718256,2.2653809200E+02,-1.3615387000E+01,226.5379995,-13.6156178,0.5406,0.4931,-0.1590,15.144,0.178,6.1,1.498E+00,null,null,null,null,1,0,0000,BX,10,57059.35585709,2265013701351033495,15.170,0.040,15.041,0.092,12.737,0.531,8.587,null,1276677279,16.240,0.0830,15.587,0.0922,15.289,0.1532
92,1.534433,-154.341161,2.2653827700E+02,-1.3615265000E+01,226.5380871,-13.6156492,0.2909,0.3092,0.0137,14.982,0.108,10.0,9.534E-01,13.813,0.154,7.0,7.338E-01,1,0,0000,AB,10,57059.35598446,2265013701351033495,15.170,0.040,15.041,0.092,12.737,0.531,8.587,null,1276677279,16.240,0.0830,15.587,0.0922,15.289,0.1532
93,0.233570,174.670287,2.2662767500E+02,-1.3584449000E+01,226.6276812,-13.5845136,0.3487,0.4234,0.0500,15.994,0.242,4.5,1.238E+00,13.705,0.117,9.3,8.732E-01,1,0,0000,BB,10,57059.42156356,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
94,0.891753,66.291468,2.2671732100E+02,-1.3553423000E+01,226.7175543,-13.5533234,0.3065,0.4615,0.0802,15.730,0.194,5.6,7.590E-01,13.598,0.124,8.7,8.262E-01,1,0,0000,BB,10,57059.48727003,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
95,0.414963,137.364742,2.2680703400E+02,-1.3522309000E+01,226.8071143,-13.5223938,0.5232,0.5293,-0.2073,16.496,0.350,3.1,7.965E-01,13.901,0.147,7.4,3.011E-01,1,0,0000,BB,10,57059.55297650,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
96,1.941139,1.581116,2.2689681500E+02,-1.3491104000E+01,226.8968303,-13.4905650,0.7795,0.8164,0.2638,16.217,null,1.5,8.087E-01,14.488,0.241,4.5,3.901E-01,1,0,0000,UB,10,57059.61868297,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
97,1.850877,-103.887544,2.2698647600E+02,-1.3459934000E+01,226.9859628,-13.4600574,0.7841,1.0235,0.2837,16.467,null,0.9,7.091E-01,14.470,0.254,4.3,7.891E-01,1,0,0000,UB,10,57059.68426213,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
98,3.672682,-114.873097,2.2698665900E+02,-1.3459812000E+01,226.9857073,-13.4602411,0.5601,0.5210,0.1200,15.589,0.196,5.5,1.134E+00,14.912,0.435,2.5,1.416E+00,1,0,0000,BC,10,57059.68438944,2265013701351049700,17.375,0.167,16.529,null,12.827,null,8.886,null,null,null,null,null,null,null,null
